"Date","Year","Month","Day","lat","lon","location","model","ssp","Tmin","Tmax"
2015-01-16,2015,1,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-13.696,10.862
2015-02-15,2015,2,15,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-3.2364,12.8374
2015-03-16,2015,3,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-2.8993,13.5311
2015-04-16,2015,4,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",0.0531,21.7272
2015-05-16,2015,5,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",3.9305,22.6927
2015-06-16,2015,6,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",7.7302,24.7364
2015-07-16,2015,7,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",9.4927,25.5827
2015-08-16,2015,8,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",11.5718,28.4569
2015-09-16,2015,9,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",5.0839,26.7264
2015-10-16,2015,10,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-1.2405,21.025
2015-11-16,2015,11,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-0.2391,13.2638
2015-12-16,2015,12,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-11.1508,9.3752
2016-01-16,2016,1,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-9.8821,10.3646
2016-02-15,2016,2,15,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-6.0634,10.3431
2016-03-16,2016,3,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-6.1136,14.3567
2016-04-16,2016,4,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",1.5463,20.1047
2016-05-16,2016,5,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",2.9976,21.9422
2016-06-16,2016,6,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",9.4483,27.0433
2016-07-16,2016,7,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",12.3224,25.0139
2016-08-16,2016,8,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",7.7838,28.6375
2016-09-16,2016,9,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",7.2587,25.3786
2016-10-16,2016,10,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-0.3666,12.6759
2016-11-16,2016,11,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",0.5482,12.9141
2016-12-16,2016,12,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-4.3684,9.5327
2017-01-16,2017,1,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-11.0974,12.2415
2017-02-15,2017,2,15,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-11.8346,8.8865
2017-03-16,2017,3,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",-3.1595,17.1633
2017-04-16,2017,4,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",0.3984,23.257
2017-05-16,2017,5,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",1.189,28.6601
2017-06-16,2017,6,16,50.9608006310702,7.5,"Bonn","AWI-CM-1-1-MR","ssp126",10.0648,27.3277
